#OTU_ID	B1	B10	B2	B3	B4	B5	B6	B7	B8	B9	BN1	BN3	DW1	DW10	DW11	DW12	DW13	DW14	DW15	DW16	DW17	DW18	DW19	DW2	DW20	DW3	DW4	DW5	DW6	DW7	DW8	DW9	DWN1	DWN3	DWN5	DWN7	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	LN1	LN3	N10	N11	N12	N13	N14	N15	N16	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N3	N30	N31	N33	N34	N35	N36	N37	N39	N4	N40	N41	N42	N43	N44	N6	N7	N8	N9	NE1	NE2	PB16	PB19	PB20	PB23	PB24	PB25	PB26	PB29	PB30	PB37	PB38	PB39	PB40	PB41	PB51	PB52	PB53	PB54	PB55	PB56	PB57	PB58	PB59	PB60	PB61	PB62	PB63	PB64	PB65	PB66	PB67	PB68	PB69	PB70	PB71	PB72	PB73	PB74	PB75	PBN11	PBN12	PBN13	PBN16	PBN18	PBN3	PBN5	PBN7	PBN9	TB21	TB22	TB23	TB24	TB25	TB26	TB27	TB28	TB29	TB30	TB31	TB32	TB33	TB34	TB35	TB36	TB37	TB38	TB39	TB40	TB41	TB42	TB43	TB44	TB45	TBN11	TBN13	TBN5	TBN7	TBN9	WB1	WB10	WB11	WB12	WB13	WB14	WB15	WB16	WB17	WB18	WB19	WB2	WB20	WB3	WB4	WB5	WB6	WB7	WB8	WB9	WBN1	WBN3	WBN5	WBN7	taxonomy
Anguilla_anguilla	0	0	0	0	0	0	0	0	0	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	6	4335	3557	0	0	0	10359	2848	4533	0	0	0	0	0	5107	0	0	0	0	0	0	0	0	0	0	0	0	494	1764	480	0	0	8908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8653	0	0	12047	0	0	8182	40215	3	0	0	0	0	0	14597	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla
Alosa_alosa	0	0	0	0	0	15133	0	0	0	0	0	0	3	3	0	0	0	0	395	0	7	14164	0	0	0	7223	8883	0	0	53452	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7569	0	0	0	35423	3	0	0	0	0	0	0	0	0	0	0	0	0	3610	0	453	34968	0	0	0	0	0	0	0	0	0	0	0	0	4009	6228	2911	1198	3750	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20896	3	0	4	0	7	14126	3	40	29134	18822	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	32272	6	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	350	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__Alosa_alosa
Barbus_barbus	0	6125	0	0	0	0	0	0	0	0	0	0	0	11864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4845	0	0	1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	35034	28159	48203	2694	5306	5875	11179	23202	15723	0	9	4849	4619	14336	0	0	0	0	3914	225	913	0	4149	8933	0	0	0	0	0	17556	17052	23616	3821	13245	0	4353	8212	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	24227	0	9	11948	9589	0	0	0	0	9779	0	0	0	0	0	0	0	0	0	0	5674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus
Gobio_gobio	0	0	14112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2088	13737	0	1621	8717	3444	0	0	6520	0	3258	6860	14922	0	0	0	0	0	0	871	0	1419	4137	7294	0	0	0	0	0	1947	3425	1391	776	2021	0	4285	15078	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12175	0	214	0	0	0	0	0	0	2613	0	8	9383	2500	5948	0	0	0	0	0	0	0	0	0	10647	0	0	13707	0	0	0	0	2632	9478	0	0	0	0	0	11278	0	14313	15762	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Gobio; s__Gobio_gobio
Pseudorasbora_parva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Pseudorasbora; s__Pseudorasbora_parva
Abramis_brama	0	0	4	15664	0	0	3435	0	0	0	0	0	0	17165	0	0	0	0	0	0	0	0	0	0	0	2668	0	0	0	0	0	0	0	0	0	0	12	17	13	18998	111964	119433	0	10	8	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688	3830	0	0	0	7182	965	0	1756	0	3304	0	0	0	0	0	0	0	0	0	0	0	0	0	388	890	1048	892	555	0	8483	3696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	6640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5166	0	0	4	23850	12	4	0	17611	18577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Alburnus_alburnus	0	0	3102	0	0	0	0	0	0	0	0	0	0	11263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7045	0	15360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3668	11372	55324	38347	23890	10373	0	18639	0	20080	6635	11531	7118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9662	7168	5649	1778	3312	0	0	10998	3	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	3	0	24014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Alburnus; s__Alburnus_alburnus
Blicca_bjoerkna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Blicca; s__Blicca_bjoerkna
Phoxinus_phoxinus	0	0	6	6644	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	5	54632	42349	22779	12026	36817	42920	37381	0	17626	23961	64779	35142	61224	17299	3	4422	7395	17	37030	1576	4790	0	0	7309	0	0	0	0	0	83640	91261	77728	46331	94079	1173	23963	40016	5914	27	4	0	0	0	5	0	6	16	37	13	27	19	50254	25	0	48395	0	28097	25986	6008	188	55260	15854	73043	49503	22	39	34480	25667	19609	157138	49376	24	122758	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	9741	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Phoxinus; s__Phoxinus_phoxinus
Rutilus_rutilus	0	8931	23661	11623	0	4	0	0	0	0	0	0	3	16465	0	0	0	0	0	0	0	0	0	0	0	6601	0	0	0	3	0	0	0	0	0	0	0	3	15	36969	11730	11923	10969	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7294	3726	4120	13078	9290	5519	0	2770	0	3286	3104	6542	10411	0	0	0	0	0	702	3	0	19034	48424	4	0	0	0	0	1326	2169	0	0	295	0	0	4255	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	3	3	3	0	0	4632	4122	24895	6	0	0	6	3	0	80949	3	6	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Rutilus; s__Rutilus_rutilus
