#OTU_ID,EB01,T1-A1,T1-A2,T1-A3,T2-A1,T2-A2,T2-A3,S1-A1,S1-A2,S1-A3,S2-A1,S2-A2,S2-A3,S3-A1,S3-A2,S3-A3,S4-A1,S4-A2,S4-A3,S5-A1,S5-A2,S5-A3,EB02,S1-B1,S1-B2,S1-B3,S2-B1,S2-B2,S2-B3,S3-B1,S3-B2,S3-B3,S4-B1,S4-B2,S4-B3,S5-B1,S5-B2,S5-B3,EB03,T1-B1,T1-B2,T1-B3,T2-B1,T2-B2,T2-B3,EB04,NC09,NC10,NC11,PC09,PC10,PC11,taxonomy
Anguilla_anguilla,0,11491,1776,6878,5639,2750,5211,416,3075,18,4,1196,413,6798,5178,3806,1321,1032,1582,618,1631,2046,0,3057,715,2677,2741,3073,6081,1081,7876,1168,16,619,2713,807,3448,3214,0,1792,1800,2336,45210,9071,39168,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla
Maylandia_zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28555,56124,74784,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Maylandia; s__Maylandia_zebra
Barbus_barbus,0,0,0,0,0,0,0,40,235,0,0,1551,1141,297,627,957,19587,6964,6661,5322,8140,5396,0,397,54,1353,639,228,1140,0,1422,40,3,12749,4298,5715,7698,10489,0,0,0,0,287,0,1760,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus
Gobio_gobio,0,0,0,0,0,0,0,133,2278,29,6,1478,3041,4735,4685,6183,2853,1992,5308,2744,4431,2463,0,2626,751,3078,5520,5568,6991,695,6991,1229,40,7041,3457,7156,10467,8373,0,0,0,0,0,665,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Gobio; s__Gobio_gobio
Abramis_brama,0,163,231,0,16515,5020,8825,1411,11809,319,24,4222,5042,8949,10953,11353,2320,3401,3887,394,511,255,0,12300,3920,13219,11634,10351,14159,3822,22621,5670,221,7501,2717,1336,2487,1711,0,0,0,314,18506,21491,16697,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Alburnus_alburnus,0,0,0,0,0,0,0,1695,8126,1117,50,5996,5238,7938,4700,5691,47070,38260,25087,15760,18273,13168,0,8000,4590,7119,2576,3250,9911,1990,6681,4188,840,17277,8071,16152,18558,22688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Alburnus; s__Alburnus_alburnus
Blicca_bjoerkna,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,225,0,0,826,0,0,16,0,0,0,0,0,0,0,104,0,0,6,931,157,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Blicca; s__Blicca_bjoerkna
Phoxinus_phoxinus,0,0,0,0,343,0,0,230,872,180,105,1811,1194,3677,2493,9616,10995,8204,9791,5418,8786,9518,0,571,491,1082,669,203,0,1789,2257,310,442,4751,3336,9353,12187,15987,0,0,0,0,2313,626,6491,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Phoxinus; s__Phoxinus_phoxinus
Rutilus_rutilus,0,1058,425,430,4065,667,1440,2955,22733,805,58,15943,15992,21857,21117,20575,13276,9198,19410,10700,24241,15626,0,15794,9972,22569,22690,17328,34764,6048,29653,8052,296,17367,11022,22045,31090,25665,0,0,0,0,3634,1215,1993,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Rutilus; s__Rutilus_rutilus
Scardinius_erythrophthalmus,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Scardinius; s__Scardinius_erythrophthalmus
