#OTU_ID	LIB1_NEG	LIB1_POS	LIB2_NEG	LIB2_POS	LIB3_NEG	LIB3_POS	LIB4_NEG	LIB4_POS	LIB5_NEG	LIB5_POS	LIB6_NEG	LIB6_POS	NE01	NE02	NE02_2	NE03	NE03_2	NE04	NE04_2	NE05	NE05_2	NE06	NE06_2	NE07	NE09	NE10	NE100	NE101	NE11	NE12	NE12_2	NE13	NE14	NE15	NE16	NE17	NE18	NE19	NE20	NE21	NE22	NE23	NE23_2	NE24	NE24_2	NE25	NE25_2	NE26	NE26_2	NE27	NE28	NE29	NE29_2	NE30	NE31	NE32	NE33	NE33_2	NE34	NE35	NE36	NE37	NE38	NE39	NE39_2	NE40	NE41	NE42	NE43	NE44	NE45	NE46	NE47	NE47_2	NE48	NE49	NE50	NE51	NE52	NE53	NE54	NE55	NE56	NE57	NE58	NE59	NE61	NE62	NE63-1-1	NE63-1-2	NE63-2-1	NE63-2-2	NE64	NE66	NE67	NE68	NE69	NE70	NE71	NE72	NE73	NE74	NE75	NE76	NE77	NE78	NE79	NE80	NE81	NE82	NE83	NE84	NE85	NE86	NE87	NE88	NE89	NE89_2	NE90	NE91	NE91_2	NE92	NE93	NE93_2	NE94	NE94_2	NE95	NE96	NE97	NE98	NE99	taxonomy
Anguilla_anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2146	0	1807	0	0	1777	1656	3172	6	9394	3205	1064	1411	0	7154	851	4977	4927	2620	12399	0	0	350	9318	279	0	0	0	6568	3378	24	0	1551	6570	0	79	0	3236	3096	889	1747	2300	43	16295	0	0	4175	0	519	413	2799	0	0	0	2654	1022	283	0	749	0	948	756	1115	3583	4122	1421	3623	5692	3942	5587	5451	0	1301	1053	0	1489	6446	3198	2475	269	471	4813	3987	1847	1393	3892	2621	1742	4012	1466	0	973	356	7007	8912	0	0	1202	0	0	0	496	0	6	0	9949	4045	3616	68	8414	d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla
Maylandia_zebra	0	138621	0	220644	0	159901	0	176093	0	225628	27	445979	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	33	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Maylandia; s__Maylandia_zebra
Rhodeus_amarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Acheilognathidae; g__Rhodeus; s__Rhodeus_amarus
Barbus_barbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3631	0	0	0	0	2997	6	10137	10185	16989	3822	28954	15249	2085	7960	1032	2179	1725	0	0	0	0	0	0	0	5872	4159	851	335	18456	2218	18173	0	22	0	12243	12488	11623	10105	18704	297	0	0	4032	2072	1289	1257	5926	1511	6	3332	9065	17801	10249	4596	11661	5306	308	5539	1556	2872	7174	7718	1971	1546	4276	2140	6523	3337	2534	3949	909	0	655	2439	2519	6444	5570	1393	4492	2120	2168	2094	848	4595	4500	8816	4820	7473	3080	5592	428	539	0	0	2969	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus
Carassius_carassius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Carassius; s__Carassius_carassius
Cyprinus_carpio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Cyprinus; s__Cyprinus_carpio
Gobio_gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	7234	0	0	0	0	1755	3538	7	8498	12850	9281	3045	12182	11884	1409	6700	15146	27640	13730	0	27513	56	34478	77	0	0	6430	3487	4689	207	23962	2564	7420	0	385	12954	9270	21075	14686	22752	16558	1085	0	0	5600	10561	4316	2140	18932	10341	16	14047	15437	39135	7857	6223	11057	15473	1545	10289	5187	9662	17611	11573	3392	1571	9636	5958	12313	6417	15757	10985	2888	0	5573	591	735	4207	5362	2862	2629	4994	2563	6822	8324	5838	12903	26604	21224	8267	2476	18603	5647	1084	0	20508	8119	1067	0	0	1089	0	1947	5037	1113	1029	3695	1290	6399	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Gobio; s__Gobio_gobio
Abramis_brama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1607	0	3385	0	0	11704	0	296	0	0	423	0	198	0	0	0	0	1588	3444	876	0	5118	120	0	324	0	0	0	0	0	123	0	485	1723	0	0	0	1183	1027	2095	3438	1793	89	0	0	0	1093	0	4419	9898	8532	8	0	1658	0	3153	502	623	1549	0	1438	0	5628	11656	11738	14518	19828	14387	8635	7929	9314	14629	0	0	0	17841	20847	12722	3501	2146	5	0	671	315	5	0	0	0	0	1334	234	126	2609	4077	6112	0	2310	0	0	0	0	0	0	0	0	6180	15914	10644	16606	6186	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Alburnus_alburnus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2773	0	11723	0	0	19150	27314	5629	130	0	6029	30156	13884	19021	29932	4699	16930	6450	9087	7512	0	32154	529	17561	2283	18965	5	6088	2255	7739	3126	22705	5594	6367	0	5	0	8439	11672	13621	7948	37156	1593	0	0	233	0	2104	6123	8833	6228	42	0	5629	6701	7571	1622	5637	3516	217	1377	1080	34650	9583	6353	2065	5000	6702	14250	6892	18561	12058	1360	145	0	3969	3322	5140	5375	2803	2094	3840	7412	1361	1527	1739	3025	0	910	273	1954	1490	985	26252	10069	0	12300	186	0	0	0	6089	2480	3650	13343	32093	2439	11113	5413	32504	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Alburnus; s__Alburnus_alburnus
Blicca_bjoerkna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	1034	0	0	0	509	0	0	0	0	612	1501	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2298	4740	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Blicca; s__Blicca_bjoerkna
