SE-01	CS01-A-1
SE-02	CS01-A-2
SE-03	CS01-A-3
SE-04	CS05-A-1
SE-05	CS05-A-2
SE-06	CS05-A-3
SE-07	CS02-B-1
SE-08	CS02-B-2
SE-09	CS02-B-3
SE-10	CS01-B-1
SE-11	CS01-B-2
SE-12	CS01-B-3
SE-13	CS00-B-1
SE-14	CS00-B-2
SE-15	CS00-B-3
SE-16	CS05-B-1
SE-17	CS05-B-2
SE-18	CS05-B-3
SE-19	CS03-B-1
SE-20	CS03-B-2
SE-21	CS03-B-3
SE-22	CS04-B-1
SE-23	CS04-B-2
SE-24	CS04-B-3
SE-25	CS02-C-1
SE-26	CS02-C-2
SE-27	CS02-C-3
SE-28	CS03-C-1
SE-29	CS03-C-2
SE-30	CS03-C-3
SE-31	CS01-C-1
SE-32	CS01-C-2
SE-33	CS01-C-3
SE-34	CS02-A-1
SE-35	CS02-A-2
SE-36	CS02-A-3
SE-37	CS03-A-1
SE-38	CS03-A-2
SE-39	CS03-A-3
SE-40	CS04-A-1
SE-41	CS04-A-2
SE-42	CS04-A-3
SE-43	CS01-D-1
SE-44	CS01-D-2
SE-45	CS01-D-3
SE-46	CS04-D-1
SE-47	CS04-D-2
SE-48	CS04-D-3
SE-49	CS02-D-1
SE-50	CS02-D-2
SE-51	CS02-D-3
SE-52	CS03-D-1
SE-53	CS03-D-2
SE-54	CS03-D-3
SE-55	CS04-C-1
SE-56	CS04-C-2
SE-57	CS04-C-3
SE-58	CS05-C-1
SE-59	CS05-C-2
SE-60	CS05-C-3
SE-61	CS05-D-1
SE-62	CS05-D-2
SE-63	CS05-D-3
