#OTU_ID,taxonomy,Order,EB01,T1-A1,T1-A2,T1-A3,T2-A1,T2-A2,T2-A3,S1-A1,S1-A2,S1-A3,S2-A1,S2-A2,S2-A3,S3-A1,S3-A2,S3-A3,S4-A1,S4-A2,S4-A3,S5-A1,S5-A2,S5-A3,EB02,S1-B1,S1-B2,S1-B3,S2-B1,S2-B2,S2-B3,S3-B1,S3-B2,S3-B3,S4-B1,S4-B2,S4-B3,S5-B1,S5-B2,S5-B3,EB03,T1-B1,T1-B2,T1-B3,T2-B1,T2-B2,T2-B3,EB04,NC01,NC02,NC03,NC04,NC05,NC06,NC07,PC01,PC02,PC03,PC04,PC05,PC06,PC07
Eiseniella_tetraedra,d__Eukaryota; p__Annelida; c__Clitellata; o__Crassiclitellata; f__Lumbricidae; g__Eiseniella; s__Eiseniella_tetraedra,Crassiclitellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbricus_rubellus,d__Eukaryota; p__Annelida; c__Clitellata; o__Crassiclitellata; f__Lumbricidae; g__Lumbricus; s__Lumbricus_rubellus,Crassiclitellata,0,0,0,0,0,0,0,0,0,0,0,3,71,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octolasion_cyaneum,d__Eukaryota; p__Annelida; c__Clitellata; o__Crassiclitellata; f__Lumbricidae; g__Octolasion; s__Octolasion_cyaneum,Crassiclitellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamaedrilus_glandulosus,d__Eukaryota; p__Annelida; c__Clitellata; o__Enchytraeida; f__Enchytraeidae; g__Chamaedrilus; s__Chamaedrilus_glandulosus,Enchytraeida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fridericia_bisetosa,d__Eukaryota; p__Annelida; c__Clitellata; o__Enchytraeida; f__Enchytraeidae; g__Fridericia; s__Fridericia_bisetosa,Enchytraeida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henlea_perpusilla,d__Eukaryota; p__Annelida; c__Clitellata; o__Enchytraeida; f__Enchytraeidae; g__Henlea; s__Henlea_perpusilla,Enchytraeida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesenchytraeus_armatus,d__Eukaryota; p__Annelida; c__Clitellata; o__Enchytraeida; f__Enchytraeidae; g__Mesenchytraeus; s__Mesenchytraeus_armatus,Enchytraeida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbriculus_variegatus,d__Eukaryota; p__Annelida; c__Clitellata; o__Lumbriculida; f__Lumbriculidae; g__Lumbriculus; s__Lumbriculus_variegatus,Lumbriculida,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,3,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stylodrilus_heringianus,d__Eukaryota; p__Annelida; c__Clitellata; o__Lumbriculida; f__Lumbriculidae; g__Stylodrilus; s__Stylodrilus_heringianus,Lumbriculida,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparganophilus_tamesis,d__Eukaryota; p__Annelida; c__Clitellata; o__Lumbriculida; f__Sparganophilidae; g__Sparganophilus; s__Sparganophilus_tamesis,Lumbriculida,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,22,0,3,0,3,11,0,3,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glossiphonia_complanata,d__Eukaryota; p__Annelida; c__Clitellata; o__Rhynchobdellida; f__Glossiphoniidae; g__Glossiphonia; s__Glossiphonia_complanata,Rhynchobdellida,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,39,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
