"X.OTU_ID","CSNeg.1","CSNeg.2","CSNeg.3","CSNeg.4","NEG01","NEG02","NEG03","POS01","POS02","POS03","SE.01","SE.02","SE.03","SE.04","SE.05","SE.06","SE.07","SE.08","SE.09","SE.10","SE.11","SE.12","SE.13","SE.14","SE.15","SE.16","SE.17","SE.18","SE.19","SE.20","SE.21","SE.22","SE.23","SE.24","SE.25","SE.26","SE.27","SE.28","SE.29","SE.30","SE.31","SE.32","SE.33","SE.34","SE.35","SE.36","SE.37","SE.38","SE.39","SE.40","SE.41","SE.42","SE.43","SE.44","SE.45","SE.46","SE.47","SE.48","SE.49","SE.50","SE.51","SE.52","SE.53","SE.54","SE.55","SE.56","SE.57","SE.58","SE.59","SE.60","SE.61","SE.62","SE.63","taxonomy"
"Anguilla_anguilla",0,0,0,0,0,0,0,0,0,0,0,1687,1477,266,457,464,2350,1714,1914,5108,3052,2852,2567,1474,950,114,107,67,735,986,175,1406,3468,1951,31,9,86,0,0,35,16,0,19,1963,1929,3025,1724,2079,2785,1184,1020,1831,3418,6322,2597,1900,989,2654,2970,3486,2012,2548,0,1630,0,0,62,1546,547,2244,1248,1941,1591,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla"
"Maylandia_zebra",0,0,0,0,0,0,0,27095,53355,72688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Maylandia; s__Maylandia_zebra"
"Alosa_alosa",0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,1373,1107,935,795,772,1137,4044,7476,1607,0,0,0,0,0,0,0,0,0,7,0,4,4,4,6,0,0,0,441,0,0,0,0,0,0,0,0,152,0,115,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__Alosa_alosa"
"Barbus_barbus",0,0,0,0,0,0,0,0,0,0,0,1263,1337,21212,14586,17756,3025,1420,2080,2187,789,1744,0,182,0,6907,7324,7450,8984,5544,10638,61632,60805,48188,0,0,0,0,0,3,0,0,0,5053,5605,6720,4041,6077,7771,25106,27678,28459,462,516,566,598,4821,5344,0,110,0,1835,0,1414,0,0,1295,6939,5316,6955,5015,6256,1916,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus"
"Carassius_auratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Carassius; s__Carassius_auratus"
"Gobio_gobio",0,0,0,0,0,0,0,0,0,0,0,1429,5395,1715,818,1685,1539,2022,1701,1248,1504,1423,1012,1246,161,533,1802,701,2131,2055,4924,4010,4500,2733,4,10,20,4,0,14,0,0,6,3966,7305,5403,2707,4026,4145,6054,5602,7620,3681,1815,1443,1696,6581,3433,2206,1036,2399,1051,0,1309,0,0,677,2759,3628,3667,3702,4623,2751,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Gobio; s__Gobio_gobio"
"Abramis_brama",0,0,0,0,0,0,0,0,0,0,0,3813,3839,264,211,737,6454,5012,5954,7088,5443,10894,7877,13727,4066,213,210,295,461,61,173,0,178,63,249,334,734,5,3,24,40,0,106,1826,2634,6368,765,884,721,1044,609,538,8434,8977,6618,21,581,397,4898,2284,4164,2379,0,1512,0,0,83,1058,1600,2062,3568,4189,3348,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama"
"Alburnus_alburnus",0,0,0,0,0,0,0,0,0,0,0,12742,4638,528,948,1159,4681,2352,3207,3117,4941,5888,447,2885,766,1041,728,710,5257,4324,5955,7968,6962,3873,85,31,152,106,43,227,52,0,70,8202,9482,10131,5395,8953,9111,4924,7236,7317,5138,7321,3825,8957,6371,7670,3461,664,2718,5779,0,21875,0,87,6045,2535,2428,2083,3868,3517,3267,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Alburnus; s__Alburnus_alburnus"
"Blicca_bjoerkna",0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,258,0,65,537,395,251,984,33,0,0,0,0,0,142,0,0,0,0,0,6,5,0,25,0,0,0,0,0,0,0,123,0,0,0,0,0,142,0,0,0,0,0,268,0,190,0,190,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Blicca; s__Blicca_bjoerkna"
"Leucaspius_delineatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Leucaspius; s__Leucaspius_delineatus"
"Leuciscus_leuciscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,118,0,0,0,0,0,0,8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6,30,0,0,"d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Leuciscus; s__Leuciscus_leuciscus"
